date,load,OT
1/1/2013 01:00,10581,0.236961451
1/1/2013 02:00,10175,0.20819161
1/1/2013 03:00,9866,0.186295351
1/1/2013 04:00,9631,0.169642857
1/1/2013 05:00,9536,0.162910998
1/1/2013 06:00,9583,0.166241497
1/1/2013 07:00,9778,0.180059524
1/1/2013 08:00,10059,0.199971655
1/1/2013 09:00,10047,0.199121315
1/1/2013 10:00,9984,0.194657029
1/1/2013 11:00,10102,0.203018707
1/1/2013 12:00,10227,0.211876417
1/1/2013 13:00,10262,0.214356576
1/1/2013 14:00,10263,0.214427438
1/1/2013 15:00,10216,0.211096939
1/1/2013 16:00,10173,0.208049887
1/1/2013 17:00,10339,0.219812925
1/1/2013 18:00,11208,0.281391723
1/1/2013 19:00,12355,0.362670068
1/1/2013 20:00,12429,0.367913832
1/1/2013 21:00,12364,0.363307823
1/1/2013 22:00,12229,0.353741497
1/1/2013 23:00,11909,0.33106576
1/2/2013 00:00,11381,0.293650794
1/2/2013 01:00,10780,0.251062925
1/2/2013 02:00,10391,0.223497732
1/2/2013 03:00,10157,0.2069161
1/2/2013 04:00,10051,0.199404762
1/2/2013 05:00,10087,0.201955782
1/2/2013 06:00,10331,0.219246032
1/2/2013 07:00,10980,0.265235261
1/2/2013 08:00,12081,0.343253968
1/2/2013 09:00,12656,0.383999433
1/2/2013 10:00,12811,0.394982993
1/2/2013 11:00,12887,0.400368481
1/2/2013 12:00,12930,0.403415533
1/2/2013 13:00,12900,0.401289683
1/2/2013 14:00,12808,0.394770408
1/2/2013 15:00,12705,0.387471655
1/2/2013 16:00,12583,0.378826531
1/2/2013 17:00,12562,0.377338435
1/2/2013 18:00,13237,0.425170068
1/2/2013 19:00,14138,0.48901644
1/2/2013 20:00,14039,0.482001134
1/2/2013 21:00,13857,0.469104308
1/2/2013 22:00,13574,0.449050454
1/2/2013 23:00,13098,0.415320295
1/3/2013 00:00,12287,0.357851474
1/3/2013 01:00,11443,0.298044218
1/3/2013 02:00,10882,0.258290816
1/3/2013 03:00,10526,0.233064059
1/3/2013 04:00,10267,0.214710884
1/3/2013 05:00,10213,0.210884354
1/3/2013 06:00,10399,0.224064626
1/3/2013 07:00,10982,0.265376984
1/3/2013 08:00,11955,0.334325397
1/3/2013 09:00,12607,0.380527211
1/3/2013 10:00,12789,0.393424036
1/3/2013 11:00,12968,0.406108277
1/3/2013 12:00,13112,0.416312358
1/3/2013 13:00,13178,0.420989229
1/3/2013 14:00,13179,0.421060091
1/3/2013 15:00,13182,0.421272676
1/3/2013 16:00,13069,0.413265306
1/3/2013 17:00,13001,0.408446712
1/3/2013 18:00,13570,0.448767007
1/3/2013 19:00,14201,0.493480726
1/3/2013 20:00,14044,0.482355442
1/3/2013 21:00,13833,0.467403628
1/3/2013 22:00,13521,0.445294785
1/3/2013 23:00,13076,0.413761338
1/4/2013 00:00,12279,0.35728458
1/4/2013 01:00,11528,0.30406746
1/4/2013 02:00,11019,0.267998866
1/4/2013 03:00,10708,0.245960884
1/4/2013 04:00,10598,0.2381661
1/4/2013 05:00,10648,0.241709184
1/4/2013 06:00,10915,0.260629252
1/4/2013 07:00,11604,0.309452948
1/4/2013 08:00,12587,0.379109977
1/4/2013 09:00,13111,0.416241497
1/4/2013 10:00,13173,0.420634921
1/4/2013 11:00,13165,0.420068027
1/4/2013 12:00,13127,0.417375283
1/4/2013 13:00,13000,0.40837585
1/4/2013 14:00,12777,0.392573696
1/4/2013 15:00,12650,0.383574263
1/4/2013 16:00,12490,0.372236395
1/4/2013 17:00,12391,0.365221088
1/4/2013 18:00,12977,0.406746032
1/4/2013 19:00,13784,0.463931406
1/4/2013 20:00,13693,0.457482993
1/4/2013 21:00,13383,0.435515873
1/4/2013 22:00,13151,0.419075964
1/4/2013 23:00,12716,0.388251134
1/5/2013 00:00,12061,0.341836735
1/5/2013 01:00,11261,0.285147392
1/5/2013 02:00,10728,0.247378118
1/5/2013 03:00,10307,0.217545351
1/5/2013 04:00,10126,0.204719388
1/5/2013 05:00,9997,0.195578231
1/5/2013 06:00,10081,0.201530612
1/5/2013 07:00,10348,0.22045068
1/5/2013 08:00,10821,0.253968254
1/5/2013 09:00,11064,0.271187642
1/5/2013 10:00,11161,0.278061224
1/5/2013 11:00,11275,0.286139456
1/5/2013 12:00,11369,0.292800454
1/5/2013 13:00,11346,0.291170635
1/5/2013 14:00,11257,0.284863946
1/5/2013 15:00,11289,0.287131519
1/5/2013 16:00,11446,0.298256803
1/5/2013 17:00,11459,0.299178005
1/5/2013 18:00,12013,0.338435374
1/5/2013 19:00,12557,0.376984127
1/5/2013 20:00,12525,0.374716553
1/5/2013 21:00,12330,0.360898526
1/5/2013 22:00,12175,0.349914966
1/5/2013 23:00,11806,0.323767007
1/6/2013 00:00,11183,0.279620181
1/6/2013 01:00,10533,0.233560091
1/6/2013 02:00,9985,0.194727891
1/6/2013 03:00,9639,0.170209751
1/6/2013 04:00,9348,0.149589002
1/6/2013 05:00,9275,0.1444161
1/6/2013 06:00,9300,0.146187642
1/6/2013 07:00,9547,0.163690476
1/6/2013 08:00,9837,0.184240363
1/6/2013 09:00,10050,0.1993339
1/6/2013 10:00,10192,0.209396259
1/6/2013 11:00,10452,0.227820295
1/6/2013 12:00,10641,0.241213152
1/6/2013 13:00,10677,0.243764172
1/6/2013 14:00,10624,0.240008503
1/6/2013 15:00,10514,0.232213719
1/6/2013 16:00,10450,0.227678571
1/6/2013 17:00,10582,0.237032313
1/6/2013 18:00,11293,0.287414966
1/6/2013 19:00,12373,0.363945578
1/6/2013 20:00,12421,0.367346939
1/6/2013 21:00,12396,0.365575397
1/6/2013 22:00,12109,0.345238095
1/6/2013 23:00,11775,0.321570295
1/7/2013 00:00,11164,0.27827381
1/7/2013 01:00,10612,0.239158163
1/7/2013 02:00,10244,0.213081066
1/7/2013 03:00,10072,0.200892857
1/7/2013 04:00,9992,0.195223923
1/7/2013 05:00,10095,0.202522676
1/7/2013 06:00,10442,0.227111678
1/7/2013 07:00,11264,0.285359977
1/7/2013 08:00,12518,0.374220522
1/7/2013 09:00,13104,0.415745465
1/7/2013 10:00,12949,0.404761905
1/7/2013 11:00,12937,0.403911565
1/7/2013 12:00,12901,0.401360544
1/7/2013 13:00,12751,0.390731293
1/7/2013 14:00,12619,0.381377551
1/7/2013 15:00,12546,0.376204649
1/7/2013 16:00,12365,0.363378685
1/7/2013 17:00,12348,0.362174036
1/7/2013 18:00,12972,0.406391723
1/7/2013 19:00,13747,0.461309524
1/7/2013 20:00,13626,0.452735261
1/7/2013 21:00,13382,0.435445011
1/7/2013 22:00,13046,0.411635488
1/7/2013 23:00,12452,0.369543651
1/8/2013 00:00,11632,0.311437075
1/8/2013 01:00,10806,0.252905329
1/8/2013 02:00,10318,0.21832483
1/8/2013 03:00,10031,0.197987528
1/8/2013 04:00,9887,0.187783447
1/8/2013 05:00,9877,0.18707483
1/8/2013 06:00,10135,0.205357143
1/8/2013 07:00,10855,0.256377551
1/8/2013 08:00,12113,0.345521542
1/8/2013 09:00,12684,0.38598356
1/8/2013 10:00,12613,0.380952381
1/8/2013 11:00,12590,0.379322562
1/8/2013 12:00,12568,0.377763605
1/8/2013 13:00,12374,0.36401644
1/8/2013 14:00,12264,0.356221655
1/8/2013 15:00,12244,0.354804422
1/8/2013 16:00,12117,0.345804989
1/8/2013 17:00,12085,0.343537415
1/8/2013 18:00,12636,0.3825822
1/8/2013 19:00,13467,0.441468254
1/8/2013 20:00,13313,0.430555556
1/8/2013 21:00,13119,0.41680839
1/8/2013 22:00,12837,0.396825397
1/8/2013 23:00,12286,0.357780612
1/9/2013 00:00,11419,0.296343537
1/9/2013 01:00,10617,0.239512472
1/9/2013 02:00,10080,0.201459751
1/9/2013 03:00,9749,0.178004535
1/9/2013 04:00,9564,0.164895125
1/9/2013 05:00,9587,0.166524943
1/9/2013 06:00,9808,0.182185374
1/9/2013 07:00,10562,0.235615079
1/9/2013 08:00,11802,0.32348356
1/9/2013 09:00,12376,0.364158163
1/9/2013 10:00,12230,0.353812358
1/9/2013 11:00,12187,0.350765306
1/9/2013 12:00,12134,0.347009637
1/9/2013 13:00,12078,0.343041383
1/9/2013 14:00,12006,0.337939342
1/9/2013 15:00,11950,0.333971088
1/9/2013 16:00,11851,0.326955782
1/9/2013 17:00,11799,0.323270975
1/9/2013 18:00,12362,0.3631661
1/9/2013 19:00,13144,0.418579932
1/9/2013 20:00,13017,0.409580499
1/9/2013 21:00,12858,0.398313492
1/9/2013 22:00,12583,0.378826531
1/9/2013 23:00,12068,0.342332766
1/10/2013 00:00,11263,0.285289116
1/10/2013 01:00,10495,0.230867347
1/10/2013 02:00,10057,0.199829932
1/10/2013 03:00,9792,0.181051587
1/10/2013 04:00,9680,0.173115079
1/10/2013 05:00,9692,0.17396542
1/10/2013 06:00,9962,0.193098073
1/10/2013 07:00,10707,0.245890023
1/10/2013 08:00,11963,0.33489229
1/10/2013 09:00,12658,0.384141156
1/10/2013 10:00,12559,0.37712585
1/10/2013 11:00,12494,0.372519841
1/10/2013 12:00,12589,0.379251701
1/10/2013 13:00,12510,0.373653628
1/10/2013 14:00,12300,0.358772676
1/10/2013 15:00,12297,0.358560091
1/10/2013 16:00,12302,0.358914399
1/10/2013 17:00,12414,0.366850907
1/10/2013 18:00,12978,0.406816893
1/10/2013 19:00,13430,0.438846372
1/10/2013 20:00,13219,0.423894558
1/10/2013 21:00,12967,0.406037415
1/10/2013 22:00,12641,0.382936508
1/10/2013 23:00,12084,0.343466553
1/11/2013 00:00,11182,0.27954932
1/11/2013 01:00,10377,0.222505669
1/11/2013 02:00,9781,0.180272109
1/11/2013 03:00,9452,0.156958617
1/11/2013 04:00,9244,0.142219388
1/11/2013 05:00,9162,0.13640873
1/11/2013 06:00,9310,0.146896259
1/11/2013 07:00,9931,0.190901361
1/11/2013 08:00,11057,0.27069161
1/11/2013 09:00,11711,0.317035147
1/11/2013 10:00,11778,0.32178288
1/11/2013 11:00,11856,0.327310091
1/11/2013 12:00,11988,0.336663832
1/11/2013 13:00,11952,0.334112812
1/11/2013 14:00,11945,0.33361678
1/11/2013 15:00,11900,0.330428005
1/11/2013 16:00,11773,0.321428571
1/11/2013 17:00,11700,0.316255669
1/11/2013 18:00,12109,0.345238095
1/11/2013 19:00,12559,0.37712585
1/11/2013 20:00,12403,0.366071429
1/11/2013 21:00,12116,0.345734127
1/11/2013 22:00,11797,0.323129252
